block,numOfEth,numOfDai
10829331,138815.11876723307557151,48837183.850751537641844651
10835799,358946.744480062617568286,129409550.3063501820657164623325869
10842267,501447.244266395215099258,181701548.0633462184351919277305791
10848735,548686.86975885729419631,205183950.2754693829191370593642941
10855203,358840.201867530813054224,127418660.223242402281544700622127
10861671,280044.771869708401540708,104258585.4481023591269483852500131
10861674,280034.191435159838113378,104257038.0973199173766888399437376
11240261,73110.80250841616686812,33435392.15110653929393902756687164
11618848,156712.72993143207731978,186219565.8810699144891833322425342
11997435,171285.963312836248791994,293635746.2984197581223885584682526
12376022,122791.046922023420211318,419958695.9649493301692139137245811
12476022,90782.441697731711168096,246998568.6690282444367324448705878
12576022,91575.64814628149602353,240599320.1979351952669079915489744
12658888,97385.679591667563279064,218348179.4783652513177889746596024
